kOhm,temp
16.26,23.7
16.00,25.6
15.86,26.00
15.37,29.00
15.19,30.00
14.93,31.00
14.36,32.00
14.07,33.00
13.81,34.00
13.59,35.00
12.87,36.00
12.55,37.00
12.33,38.00
11.95,39.00
11.67,40.00
11.48,41.00
11.19,42.00
10.82,43.00
10.60,44.00
10.42,45.00
9.85,46.00
9.53,47.00
8.62,49.00
